t,pressure
247.0,69267.74513989863
247.10000000000002,69272.21852003488
247.20000000000002,69276.69201758492
247.3,69281.16563255327
247.4,69285.63936494278
247.5,69290.11321475622
247.60000000000002,69294.58718199674
247.70000000000002,69299.06126666759
247.8,69303.53546877207
247.9,69308.00978831349
248.0,69312.48422529516
248.10000000000002,69316.95877971825
248.20000000000002,69321.4334515874
248.3,69325.90824090688
248.4,69330.3831476801
248.5,69334.85817191025
248.60000000000002,69339.33331360183
248.70000000000002,69343.80857275771
248.8,69348.28394938062
248.9,69352.7594434737
249.0,69357.23505504019
249.10000000000002,69361.71078408338
249.20000000000002,69366.18663060655
249.3,69370.66259461085
249.4,69375.13867610093
249.5,69379.61487508102
249.60000000000002,69384.09119155454
249.70000000000002,69388.56762552467
249.8,69393.04417699586
249.9,69397.520845971
250.0,69401.9976324528
250.10000000000002,69406.47453644438
250.20000000000002,69410.95155794897
250.3,69415.42869696984
250.4,69419.90595351029
250.5,69424.3833275736
250.60000000000002,69428.86081916087
250.70000000000002,69433.33842827678
250.8,69437.81615492552
250.9,69442.29399911048
251.0,69446.77196083486
251.10000000000002,69451.25004010308
251.20000000000002,69455.72823691802
251.3,69460.20655128238
251.4,69464.68498319924
251.5,69469.16353267185
251.60000000000002,69473.64219970345
251.70000000000002,69478.12098429732
251.8,69482.59988645457
251.9,69487.07890617983
252.0,69491.55804347729
252.10000000000002,69496.0372983503
252.20000000000002,69500.5166708021
252.3,69504.99616083706
252.4,69509.47576845805
252.5,69513.95549366776
252.60000000000002,69518.43533646928
252.70000000000002,69522.91529686582
252.8,69527.39537486061
252.9,69531.87557045692
253.0,69536.355883658
253.10000000000002,69540.83631446498
253.20000000000002,69545.31686288244
253.3,69549.79752891457
253.4,69554.27831256474
253.5,69558.75921383612
253.60000000000002,69563.24023273311
253.70000000000002,69567.72136925852
253.8,69572.20262341507
253.9,69576.6839952058
254.0,69581.16548463394
254.10000000000002,69585.64709170267
254.20000000000002,69590.1288164153
254.3,69594.61065877287
254.4,69599.09261877998
254.5,69603.57469644082
254.60000000000002,69608.05689175872
254.70000000000002,69612.53920473685
254.8,69617.02163537958
254.9,69621.50418368974
255.0,69625.98684967002
255.10000000000002,69630.46963332346
255.20000000000002,69634.95253465323
255.3,69639.43555366258
255.4,69643.91869035471
255.5,69648.40194473288
255.60000000000002,69652.88531679814
255.70000000000002,69657.3688065551
255.8,69661.8524140079
255.9,69666.33613915986
256.0,69670.81998201415
256.1,69675.30394257513
256.2,69679.7880208456
256.3,69684.27221682823
256.40000000000003,69688.75653052608
256.5,69693.2409619423
256.6,69697.72551108008
256.7,69702.21017794264
256.8,69706.69496253323
256.90000000000003,69711.17986485505
257.0,69715.66488490917
257.1,69720.15002270015
257.2,69724.63527823213
257.3,69729.12065150845
257.40000000000003,69733.6061425322
257.5,69738.09175130652
257.6,69742.57747783462
257.7,69747.06332211968
257.8,69751.54928416491
257.90000000000003,69756.03536397353
258.0,69760.52156154877
258.1,69765.00787689381
258.2,69769.49431001188
258.3,69773.98086090617
258.40000000000003,69778.46752957991
258.5,69782.95431603628
258.6,69787.44122027852
258.7,69791.92824230978
258.8,69796.41538213329
258.90000000000003,69800.90263975225
259.0,69805.39001516988
259.1,69809.87750838934
259.2,69814.36511941385
259.3,69818.8528482466
259.40000000000003,69823.3406948908
259.5,69827.82865934962
259.6,69832.31674162627
259.7,69836.80494172394
259.8,69841.29325964581
259.90000000000003,69845.78169539508
260.0,69850.27024897495
260.1,69854.75892038859
260.2,69859.24770963918
260.3,69863.73661672993
260.40000000000003,69868.22564166402
260.5,69872.71478444462
260.6,69877.20404507492
260.7,69881.6934235581
260.8,69886.18291989734
260.90000000000003,69890.67253409584
261.0,69895.16226615674
261.1,69899.65211608325
261.2,69904.14208387853
261.3,69908.63216954574
261.40000000000003,69913.1223730881
261.5,69917.61269450875
261.6,69922.10313381087
261.7,69926.59369099763
261.8,69931.08436607219
261.90000000000003,69935.57515903773
262.0,69940.06606989744
262.1,69944.55709865443
262.2,69949.04824531193
262.3,69953.53950987307
262.40000000000003,69958.030892341
262.5,69962.5223927189
262.6,69967.01401100995
262.7,69971.50574721729
262.8,69975.99760134406
262.90000000000003,69980.48957339347
263.0,69984.98166336863
263.1,69989.47387127271
263.2,69993.96619710888
263.3,69998.45864088027
263.40000000000003,70002.95120259006
263.5,70007.44388224138
263.6,70011.9366798374
263.7,70016.42959538125
263.8,70020.92262887608
263.90000000000003,70025.41578032507
264.0,70029.90904973133
264.1,70034.402437098
264.2,70038.89594242827
264.3,70043.38956572524
264.40000000000003,70047.8833069921
264.5,70052.37716623193
264.6,70056.8711434479
264.7,70061.36523864316
264.8,70065.85945182084
264.90000000000003,70070.3537829841
265.0,70074.84823213602
265.1,70079.34279927978
265.2,70083.83748441849
265.3,70088.33228755531
265.40000000000003,70092.82720869336
265.5,70097.32224783576
265.6,70101.81740498565
265.7,70106.31268014616
265.8,70110.80807332041
265.90000000000003,70115.30358451154
266.0,70119.79921372267
266.1,70124.2949609569
266.2,70128.7908262174
266.3,70133.28680950726
266.40000000000003,70137.78291082961
266.5,70142.27913018758
266.6,70146.77546758427
266.7,70151.27192302282
266.8,70155.76849650634
266.90000000000003,70160.26518803794
267.0,70164.76199762072
267.1,70169.25892525783
267.2,70173.75597095236
267.3,70178.25313470744
267.40000000000003,70182.75041652616
267.5,70187.24781641163
267.6,70191.74533436699
267.7,70196.24297039531
267.8,70200.74072449972
267.90000000000003,70205.23859668332
268.0,70209.73658694922
268.1,70214.23469530052
268.2,70218.73292174032
268.3,70223.2312662717
268.40000000000003,70227.72972889782
268.5,70232.22830962171
268.6,70236.72700844653
268.7,70241.22582537532
268.8,70245.72476041122
268.90000000000003,70250.22381355733
269.0,70254.7229848167
269.1,70259.22227419246
269.2,70263.72168168769
269.3,70268.22120730548
269.40000000000003,70272.72085104894
269.5,70277.22061292114
269.6,70281.72049292516
269.7,70286.2204910641
269.8,70290.72060734105
269.90000000000003,70295.22084175909
270.0,70299.72119432129
270.1,70304.22166503077
270.2,70308.72225389056
270.3,70313.22296090379
270.40000000000003,70317.72378607352
270.5,70322.22472940283
270.6,70326.7257908948
270.7,70331.22697055248
270.8,70335.72826837898
270.90000000000003,70340.22968437738
271.0,70344.73121855073
271.1,70349.23287090211
271.2,70353.73464143458
271.3,70358.23653015123
271.40000000000003,70362.73853705513
271.5,70367.24066214933
271.6,70371.74290543691
271.7,70376.24526692093
271.8,70380.74774660448
271.90000000000003,70385.25034449059
272.0,70389.75306058234
272.1,70394.2558948828
272.2,70398.758847395
272.3,70403.26191812204
272.40000000000003,70407.76510706695
272.5,70412.2684142328
272.6,70416.77183962266
272.7,70421.27538323955
272.8,70425.77904508656
272.90000000000003,70430.28282516674
273.0,70434.78672348312
273.1,70439.29074003878
273.2,70443.79487483675
273.3,70448.29912788009
273.40000000000003,70452.80349917185
273.5,70457.30798871507
273.6,70461.8125965128
273.7,70466.3173225681
273.8,70470.82216688398
273.90000000000003,70475.32712946352
274.0,70479.83221030975
274.1,70484.3374094257
274.2,70488.84272681442
274.3,70493.34816247896
274.40000000000003,70497.85371642235
274.5,70502.35938864762
274.6,70506.86517915782
274.7,70511.37108795597
274.8,70515.87711504512
274.90000000000003,70520.3832604283
275.0,70524.88952410853
275.1,70529.39590608886
275.2,70533.9024063723
275.3,70538.4090249619
275.40000000000003,70542.91576186068
275.5,70547.42261707166
275.6,70551.92959059788
275.7,70556.43668244235
275.8,70560.94389260809
275.90000000000003,70565.45122109816
276.0,70569.95866791555
276.1,70574.46623306327
276.2,70578.97391654438
276.3,70583.48171836187
276.40000000000003,70587.98963851877
276.5,70592.4976770181
276.6,70597.00583386284
276.7,70601.51410905606
276.8,70606.02250260074
276.90000000000003,70610.53101449991
277.0,70615.03964475657
277.1,70619.54839337373
277.2,70624.0572603544
277.3,70628.5662457016
277.40000000000003,70633.07534941833
277.5,70637.58457150758
277.6,70642.0939119724
277.7,70646.60337081576
277.8,70651.11294804067
277.90000000000003,70655.62264365013
278.0,70660.13245764715
278.1,70664.64239003473
278.2,70669.15244081587
278.3,70673.66260999355
278.40000000000003,70678.1728975708
278.5,70682.6833035506
278.6,70687.19382793595
